Date_UTC,Time_UTC,Date_CST,Time_CST,Lake_Visible,LES_Exist
20121027,10:00,20121027,4:00,N,N
20121027,11:00,20121027,5:00,N,N
20121027,12:00,20121027,6:00,N,N
20121027,13:00,20121027,7:00,N,N
20121027,14:00,20121027,8:00,N,N
20121027,15:00,20121027,9:00,Y,Y
20121027,16:00,20121027,10:00,Y,Y
20121027,17:00,20121027,11:00,Y,Y
20121027,18:00,20121027,12:00,Y,Y
20121027,19:00,20121027,13:00,Y,Y
20121027,20:00,20121027,14:00,Y,Y
20121027,21:00,20121027,15:00,Y,Y
20121027,22:00,20121027,16:00,Y,Y
20121027,23:00,20121027,17:00,Y,Y
20121028,0:00,20121027,18:00,N,N
20121028,1:00,20121027,19:00,N,N
20121028,2:00,20121027,20:00,N,N
20121028,3:00,20121027,21:00,N,N
20121028,4:00,20121027,22:00,N,N
20121028,5:00,20121027,23:00,N,N
20121028,6:00,20121028,0:00,N,N
20121028,7:00,20121028,1:00,N,N
20121028,8:00,20121028,2:00,N,N
20121028,9:00,20121028,3:00,N,N
20121028,10:00,20121028,4:00,N,N
20121028,11:00,20121028,5:00,N,N
20121028,12:00,20121028,6:00,N,N
20121028,13:00,20121028,7:00,N,N
20121028,14:00,20121028,8:00,N,N
